0.967,1.0184,0.972,0.962,0.978,0.7578,0.983,0.6409,0.988,0.6452,0.979,0.7836,0.96,1.0684,0.902,1.2029,0.893,1.4257,0.952,1.1018,0.965,0.8325,0.991,0.6511,0.951,1.0482,0.959,0.9947
0.961,1.0079,0.965,0.9514,0.981,0.758,0.99,0.6425999999999999,0.99,0.6457000000000001,0.965,0.7847,0.957,1.0621,0.901,1.2071,0.876,1.3624,0.961,1.1041,0.972,0.8325,0.993,0.6512,0.961,1.0512,0.968,1.01
0.955,1.0102,0.974,0.9607,0.979,0.7582,0.991,0.6425999999999999,0.988,0.6455,0.974,0.7912,0.953,1.0708,0.885,1.2192,0.899,1.2883,0.959,1.1037,0.982,0.8313,0.98,0.6493,0.967,1.0468,0.961,1.0214
0.966,1.035,0.962,0.9506,0.989,0.7538,0.99,0.6462,0.979,0.6449,0.976,0.786,0.959,1.0634,0.892,1.2084,0.883,1.2549,0.9429999999999999,1.0836,0.97,0.8386,0.987,0.6526999999999999,0.961,1.0352,0.967,1.0079
0.969,1.0251,0.968,0.9559,0.978,0.7539,0.995,0.6493,0.995,0.6492,0.977,0.7949000000000001,0.957,1.0521,0.892,1.2033,0.872,1.0814,0.961,1.094,0.977,0.8337,0.983,0.6487000000000001,0.963,1.0646,0.963,1.0033
0.968,1.0214,0.965,0.9477,0.965,0.754,0.984,0.646,0.986,0.6505,0.974,0.7907,0.948,1.0548,0.874,1.2021,0.87,0.9879,0.961,1.0845,0.977,0.8362000000000001,0.987,0.6562,0.96,1.0525,0.96,1.0318
0.966,1.027,0.967,0.9576,0.978,0.7616000000000001,0.993,0.6536,0.99,0.6548,0.978,0.7938,0.953,1.079,0.873,1.1614,0.867,0.8746,0.955,1.1001,0.969,0.8479,0.986,0.6545,0.952,1.0827,0.966,1.0194
0.959,1.0265,0.957,0.9607,0.98,0.7717000000000001,0.986,0.6589,0.99,0.6602,0.985,0.8044,0.956,1.0493,0.843,1.101,0.864,0.7699,0.958,1.1012,0.963,0.8512,0.986,0.6623,0.964,1.0638,0.966,1.0168
0.968,1.0382,0.968,0.9721,0.978,0.7833,0.983,0.6688,0.983,0.6677999999999999,0.976,0.8159999999999999,0.95,1.0556,0.8149999999999999,1.057,0.836,0.6702,0.947,1.0696,0.975,0.8638,0.992,0.6743,0.968,1.0772,0.958,1.0295
0.956,1.016,0.969,1.0003,0.977,0.8016,0.987,0.6886,0.987,0.6957,0.959,0.8204,0.9340000000000001,1.0594,0.805,1.0559,0.836,0.5859,0.946,1.0765,0.972,0.8842,0.986,0.6936,0.959,1.0556,0.954,1.0204
0.947,1.0416,0.971,0.9975000000000001,0.971,0.8324,0.978,0.7221,0.99,0.7248,0.974,0.8713,0.919,1.045,0.763,0.9824000000000001,0.838,0.4891,0.9370000000000001,1.0673,0.966,0.8967000000000001,0.982,0.726,0.945,1.0541,0.969,1.0326
0.958,1.0404,0.956,1.0183,0.971,0.8764,0.979,0.7732,0.986,0.7832,0.974,0.9066,0.921,1.061,0.719,0.903,0.829,0.4052,0.91,1.0257,0.968,0.9565,0.983,0.7815,0.929,1.076,0.9419999999999999,1.0525
0.9429999999999999,1.0759,0.947,1.0473,0.972,0.9447,0.969,0.8437,0.988,0.8595,0.967,0.9781,0.906,1.0585,0.6879999999999999,0.8583,0.824,0.3347,0.882,1.0135,0.964,1.0116,0.979,0.8538,0.91,1.0641,0.927,1.0719
